Periodo,Ano,Trimestre,Aba_fonte,Titulo_documento,Categoria,URL_direta,Identificador_documento,URL_central_resultados,Data_acesso
1T06,2006,1,1T06,ITR 1T06 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/3939c96e-2736-4537-99ae-aa6801c54e5a?origin=2,3939c96e-2736-4537-99ae-aa6801c54e5a,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
2T06,2006,2,2T06,ITR 2T06 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/ced1fd2f-a1e1-4584-b4c9-ca8c912fc6b9?origin=2,ced1fd2f-a1e1-4584-b4c9-ca8c912fc6b9,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
3T06,2006,3,3T06,ITR 3T06 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/9552f0eb-3212-42fb-ab5a-45ba9eeb0785?origin=2,9552f0eb-3212-42fb-ab5a-45ba9eeb0785,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
4T06,2006,4,4T06,DFP 2006 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/dad3df34-5802-4314-bdca-70a0329d8f40?origin=2,dad3df34-5802-4314-bdca-70a0329d8f40,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
1T07,2007,1,1T07,ITR 1T07 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/717b0171-1125-4632-8e7a-4be83f94378d?origin=2,717b0171-1125-4632-8e7a-4be83f94378d,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
2T07,2007,2,2T07,ITR 2T07 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/574974b3-806c-49aa-a8db-d00b966c22f7?origin=2,574974b3-806c-49aa-a8db-d00b966c22f7,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
3T07,2007,3,3T07,ITR 3T07 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/6e9ce8b4-9ebe-4924-9417-d14926c10577?origin=2,6e9ce8b4-9ebe-4924-9417-d14926c10577,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
4T07,2007,4,4T07,DFP 2007 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/c4f18157-f986-40e3-b041-38d3f84f4447?origin=2,c4f18157-f986-40e3-b041-38d3f84f4447,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
1T08,2008,1,1T08,ITR 1T08 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/d09f85b2-d034-4c19-854b-56b56f6f147e?origin=2,d09f85b2-d034-4c19-854b-56b56f6f147e,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
2T08,2008,2,2T08,ITR 2T08 (BR GAAP),Demonstrações Financeiras em R$,https://api.mziq.com/mzfilemanager/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/c944ede0-e0a0-49ae-bc53-f528e4fd75f2?origin=2,c944ede0-e0a0-49ae-bc53-f528e4fd75f2,https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/,08 set. 2026
