Horizonte,Bloco,Target_QID,Target_Periodo,N_Treino,N_Avaliacao
H1,Validação,53,1T19,296,6
H1,Validação,54,2T19,302,6
H1,Validação,55,3T19,308,6
H1,Validação,56,4T19,314,4
H1,Validação,57,1T20,318,4
H1,Validação,58,2T20,322,4
H1,Validação,59,3T20,326,4
H1,Validação,60,4T20,330,4
H1,Validação,61,1T21,334,4
H1,Validação,62,2T21,338,4
H1,Validação,63,3T21,342,4
H1,Validação,64,4T21,346,4
H1,Validação,65,1T22,350,4
H1,Validação,66,2T22,354,4
H1,Validação,67,3T22,358,4
H1,Validação,68,4T22,362,4
H1,Teste,69,1T23,366,4
H1,Teste,70,2T23,370,4
H1,Teste,71,3T23,374,4
H1,Teste,72,4T23,378,4
H1,Teste,73,1T24,382,4
H1,Teste,74,2T24,386,4
H1,Teste,75,3T24,390,4
H1,Teste,76,4T24,394,4
H1,Teste,77,1T25,398,4
H1,Teste,78,2T25,402,4
H1,Teste,79,3T25,406,4
H1,Teste,80,4T25,410,4
H1,Teste,81,1T26,414,4
H1,Teste,82,2T26,418,4
H2,Validação,53,1T19,289,6
H2,Validação,54,2T19,295,6
H2,Validação,55,3T19,301,6
H2,Validação,56,4T19,307,4
H2,Validação,57,1T20,311,4
H2,Validação,58,2T20,315,4
H2,Validação,59,3T20,319,4
H2,Validação,60,4T20,323,4
H2,Validação,61,1T21,327,4
H2,Validação,62,2T21,331,4
H2,Validação,63,3T21,335,4
H2,Validação,64,4T21,339,4
H2,Validação,65,1T22,343,4
H2,Validação,66,2T22,347,4
H2,Validação,67,3T22,351,4
H2,Validação,68,4T22,355,4
H2,Teste,69,1T23,359,4
H2,Teste,70,2T23,363,4
H2,Teste,71,3T23,367,4
H2,Teste,72,4T23,371,4
H2,Teste,73,1T24,375,4
H2,Teste,74,2T24,379,4
H2,Teste,75,3T24,383,4
H2,Teste,76,4T24,387,4
H2,Teste,77,1T25,391,4
H2,Teste,78,2T25,395,4
H2,Teste,79,3T25,399,4
H2,Teste,80,4T25,403,4
H2,Teste,81,1T26,407,4
H2,Teste,82,2T26,411,4
H3,Validação,53,1T19,282,6
H3,Validação,54,2T19,288,6
H3,Validação,55,3T19,294,6
H3,Validação,56,4T19,300,4
H3,Validação,57,1T20,304,4
H3,Validação,58,2T20,308,4
H3,Validação,59,3T20,312,4
H3,Validação,60,4T20,316,4
H3,Validação,61,1T21,320,4
H3,Validação,62,2T21,324,4
H3,Validação,63,3T21,328,4
H3,Validação,64,4T21,332,4
H3,Validação,65,1T22,336,4
H3,Validação,66,2T22,340,4
H3,Validação,67,3T22,344,4
H3,Validação,68,4T22,348,4
H3,Teste,69,1T23,352,4
H3,Teste,70,2T23,356,4
H3,Teste,71,3T23,360,4
H3,Teste,72,4T23,364,4
H3,Teste,73,1T24,368,4
H3,Teste,74,2T24,372,4
H3,Teste,75,3T24,376,4
H3,Teste,76,4T24,380,4
H3,Teste,77,1T25,384,4
H3,Teste,78,2T25,388,4
H3,Teste,79,3T25,392,4
H3,Teste,80,4T25,396,4
H3,Teste,81,1T26,400,4
H3,Teste,82,2T26,404,4
H4,Validação,53,1T19,275,6
H4,Validação,54,2T19,281,6
H4,Validação,55,3T19,287,6
H4,Validação,56,4T19,293,4
H4,Validação,57,1T20,297,4
H4,Validação,58,2T20,301,4
H4,Validação,59,3T20,305,4
H4,Validação,60,4T20,309,4
H4,Validação,61,1T21,313,4
H4,Validação,62,2T21,317,4
H4,Validação,63,3T21,321,4
H4,Validação,64,4T21,325,4
H4,Validação,65,1T22,329,4
H4,Validação,66,2T22,333,4
H4,Validação,67,3T22,337,4
H4,Validação,68,4T22,341,4
H4,Teste,69,1T23,345,4
H4,Teste,70,2T23,349,4
H4,Teste,71,3T23,353,4
H4,Teste,72,4T23,357,4
H4,Teste,73,1T24,361,4
H4,Teste,74,2T24,365,4
H4,Teste,75,3T24,369,4
H4,Teste,76,4T24,373,4
H4,Teste,77,1T25,377,4
H4,Teste,78,2T25,381,4
H4,Teste,79,3T25,385,4
H4,Teste,80,4T25,389,4
H4,Teste,81,1T26,393,4
H4,Teste,82,2T26,397,4
