Horizonte,Bloco,Modelo,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED,R2_Within_Segment,SST_Within,Between_Share_SST
H1,Validação,Baseline Sazonal,70,0.27697739555801015,8024.114285714286,14846.018911286814,0.817891310126796,-4451.428571428572,-0.15365497652767368,15428299426.0,84720281260.28574,0.044065835530916475,16139499977.5625,0.8094966194933042
H1,Validação,Baseline Último,70,0.14016282693597382,4060.557142857143,7066.816235052388,0.9587372425233116,-700.9857142857143,-0.02419671387431457,3495792419.0,84720281260.28574,0.7834014421847064,16139499977.5625,0.8094966194933042
H1,Validação,Gradient Boosting,70,0.2306281178295823,6681.362467270951,12679.254412092498,0.8671694155890985,-3600.789559673999,-0.1242925111331709,11253444471.259697,84720281260.28574,0.30273896422414004,16139499977.5625,0.8094966194933042
H1,Validação,Random Forest ampliada,70,0.230743094863622,6684.693384797662,12751.109459843854,0.8656596118110436,-2966.498620744884,-0.10239797598137101,11381355471.984358,84720281260.28574,0.2948136257128797,16139499977.5625,0.8094966194933042
H1,Validação,Random Forest grade original,70,0.22927620521915762,6642.197172686201,12581.336131212733,0.8692131192858394,-2976.3496447432485,-0.10273801487831247,11080301319.259127,84720281260.28574,0.31346687724754707,16139499977.5625,0.8094966194933042
H1,Validação,Ridge + Brent e Câmbio,70,0.17859117408309833,5173.837339237096,7591.021950118997,0.9523885787759532,-376.5854109908504,-0.012999023023274848,4033652997.3031893,84720281260.28574,0.7500757146806986,16139499977.5625,0.8094966194933042
H1,Validação,Ridge Contábil,70,0.16188210293448158,4689.770774041341,7286.4044107930995,0.9561330747331229,-739.9048083367605,-0.025540128103462286,3716418246.633759,84720281260.28574,0.7697315126366735,16139499977.5625,0.8094966194933042
H1,Teste,Baseline Sazonal,56,0.14061090262125414,5357.267857142857,9714.34494611669,0.9493297220173765,1393.3392857142858,0.036570636347913875,5284635873.0,104294590110.8393,-2.042108739921322,1737162055.9285717,0.9833436992840914
H1,Teste,Baseline Último,56,0.10623515124927528,4047.5535714285716,7951.275383996133,0.9660531223217106,-213.58928571428572,-0.005606025880238864,3540475693.0,104294590110.8393,-1.0380802590737548,1737162055.9285717,0.9833436992840914
H1,Teste,Gradient Boosting,56,0.12348774092128847,4704.876313686399,9464.30405579975,0.9519045919326756,-1110.678218738655,-0.02915170027393396,5016090870.595144,104294590110.8393,-1.887520397694776,1737162055.9285717,0.9833436992840914
H1,Teste,Random Forest ampliada,56,0.10176081785450933,3877.0817087844202,6699.43583313366,0.9759007953879844,479.7866442195109,0.01259284301407089,2513416667.0074167,104294590110.8393,-0.4468521566135122,1737162055.9285717,0.9833436992840914
H1,Teste,Random Forest grade original,56,0.10155103587327335,3869.08902653765,6412.7109027274255,0.9779194661929989,465.28510077932907,0.012212224540830544,2302880222.829715,104294590110.8393,-0.32565652983869,1737162055.9285717,0.9833436992840914
H1,Teste,Ridge + Brent e Câmbio,56,0.10813104560233573,4119.787044714406,7446.475563790494,0.9702266445197285,-29.173996400028045,-0.0007657227669525082,3105199906.0392213,104294590110.8393,-0.7875130851734999,1737162055.9285717,0.9833436992840914
H1,Teste,Ridge Contábil,56,0.11653034711805549,4439.799982500747,8143.592007123513,0.964391124413564,-664.4852690051351,-0.017440582764358767,3713813083.5952144,104294590110.8393,-1.1378621936397617,1737162055.9285717,0.9833436992840914
H2,Validação,Baseline Sazonal,70,0.27697739555801015,8024.114285714286,14846.018911286814,0.817891310126796,-4451.428571428572,-0.15365497652767368,15428299426.0,84720281260.28574,0.044065835530916475,16139499977.5625,0.8094966194933042
H2,Validação,Baseline Último,70,0.20499526608544716,5938.771428571428,9776.155741686724,0.9210327754289913,-1828.0857142857142,-0.06310209475718963,6690125476.0,84720281260.28574,0.585481242584915,16139499977.5625,0.8094966194933042
H2,Validação,Gradient Boosting,70,0.2765994051242453,8013.1637948508505,14157.529022572218,0.8343903755625833,-4989.845562966866,-0.17224012259244972,14030493961.748228,84720281260.28574,0.13067356601792246,16139499977.5625,0.8094966194933042
H2,Validação,Random Forest ampliada,70,0.26372273540677527,7640.122994087253,14513.960648612341,0.8259465910605382,-3864.6738893940515,-0.13340130392598504,14745853759.66273,84720281260.28574,0.08635002446403228,16139499977.5625,0.8094966194933042
H2,Validação,Random Forest grade original,70,0.26830002851067886,7772.728483105369,14975.63548674047,0.814697545349397,-4156.05539964781,-0.1434592478871685,15698876076.22043,84720281260.28574,0.027300963595813688,16139499977.5625,0.8094966194933042
H2,Validação,Ridge + Brent e Câmbio,70,0.2525843124549528,7317.439698766398,10861.27053461766,0.9025297873072369,-1161.511359315922,-0.04009319655218871,8257703833.830768,84720281260.28574,0.488354419572427,16139499977.5625,0.8094966194933042
H2,Validação,Ridge Contábil,70,0.23579746805078458,6831.120020136387,10684.208829077064,0.9056818253862577,-1946.9056882441664,-0.06720353770222279,7990662281.232982,84720281260.28574,0.5049002576076221,16139499977.5625,0.8094966194933042
H2,Teste,Baseline Sazonal,56,0.14061090262125414,5357.267857142857,9714.34494611669,0.9493297220173765,1393.3392857142858,0.036570636347913875,5284635873.0,104294590110.8393,-2.042108739921322,1737162055.9285717,0.9833436992840914
H2,Teste,Baseline Último,56,0.11972364040631853,4561.464285714285,8505.944396210722,0.9611517621413145,682.7142857142857,0.017919035319228515,4051661044.0,104294590110.8393,-1.3323448898578727,1737162055.9285717,0.9833436992840914
H2,Teste,Gradient Boosting,56,0.15521706968176338,5913.762039675023,10831.363934648292,0.9370069636846294,-1194.5101088941506,-0.03135201544531251,6569832902.348785,104294590110.8393,-2.781934379655206,1737162055.9285717,0.9833436992840914
H2,Teste,Random Forest ampliada,56,0.11165734466320143,4254.13885002451,7157.040104298227,0.9724961717764521,873.1427947332114,0.022917165943268498,2868500491.053858,104294590110.8393,-0.6512567041539181,1737162055.9285717,0.9833436992840914
H2,Teste,Random Forest grade original,56,0.12830170161845966,4888.287958357869,8449.16422241074,0.9616686823836379,1162.2897009495134,0.03050633425767507,3997749059.2068777,104294590110.8393,-1.3013103731821647,1737162055.9285717,0.9833436992840914
H2,Teste,Ridge + Brent e Câmbio,56,0.1235376175563009,4706.77661080841,8588.337055973378,0.9603955117395584,499.12911213746924,0.013100520051208488,4130533869.6723056,104294590110.8393,-1.3777481528425373,1737162055.9285717,0.9833436992840914
H2,Teste,Ridge Contábil,56,0.12853637622963637,4897.229048471848,9271.53035343553,0.9538439012015295,-341.340322722964,-0.008959076185655484,4813831405.301877,104294590110.8393,-1.771089426500697,1737162055.9285717,0.9833436992840914
H3,Validação,Baseline Sazonal,70,0.27697739555801015,8024.114285714286,14846.018911286814,0.817891310126796,-4451.428571428572,-0.15365497652767368,15428299426.0,84720281260.28574,0.044065835530916475,16139499977.5625,0.8094966194933042
H3,Validação,Baseline Último,70,0.25140833957947056,7283.371428571429,12358.613805763169,0.8738026679685749,-3136.4285714285716,-0.10826363959130537,10691473464.0,84720281260.28574,0.33755856879931045,16139499977.5625,0.8094966194933042
H3,Validação,Gradient Boosting,70,0.29692971124765993,8602.138571905065,15936.929119975912,0.7901447041985473,-5611.947495527346,-0.19371391607504942,17778999684.259533,84720281260.28574,-0.1015830545541252,16139499977.5625,0.8094966194933042
H3,Validação,Random Forest ampliada,70,0.2985445793777063,8648.921763023402,16437.76750647564,0.7767475064952061,-5024.931543915199,-0.17345122493691267,18914014041.78625,84720281260.28574,-0.17190830373189647,16139499977.5625,0.8094966194933042
H3,Validação,Random Forest grade original,70,0.2985445793777063,8648.921763023402,16437.76750647564,0.7767475064952061,-5024.931543915199,-0.17345122493691267,18914014041.78625,84720281260.28574,-0.17190830373189647,16139499977.5625,0.8094966194933042
H3,Validação,Ridge + Brent e Câmbio,70,0.27206623358101806,7881.836520051688,13155.709571271896,0.8569989567735886,-2696.774713968391,-0.09308761192640114,12115088602.65585,84720281260.28574,0.24935167635313848,16139499977.5625,0.8094966194933042
H3,Validação,Ridge Contábil,70,0.26645791431292537,7719.3619084781085,13376.366774280667,0.8521616904560859,-3516.705670729898,-0.12139009278033298,12524903165.605583,84720281260.28574,0.22395965283819275,16139499977.5625,0.8094966194933042
H3,Teste,Baseline Sazonal,56,0.14061090262125414,5357.267857142857,9714.34494611669,0.9493297220173765,1393.3392857142858,0.036570636347913875,5284635873.0,104294590110.8393,-2.042108739921322,1737162055.9285717,0.9833436992840914
H3,Teste,Baseline Último,56,0.11640576922445992,4435.053571428572,8721.224523908817,0.9591604281825801,1218.875,0.03199151479871785,4259346403.0,104294590110.8393,-1.4518992850803638,1737162055.9285717,0.9833436992840914
H3,Teste,Gradient Boosting,56,0.11876125152088823,4524.797320735938,7011.258720236008,0.97360520874351,605.6636657011879,0.015896706491088302,2752833935.1567864,104294590110.8393,-0.5846730739725396,1737162055.9285717,0.9833436992840914
H3,Teste,Random Forest ampliada,56,0.12054782551094996,4592.86569404797,7688.554510753112,0.9682593628057609,822.9391051427344,0.02159948194902464,3310376746.030033,104294590110.8393,-0.905623447583608,1737162055.9285717,0.9833436992840914
H3,Teste,Random Forest grade original,56,0.12054782551094996,4592.86569404797,7688.554510753112,0.9682593628057609,822.9391051427344,0.02159948194902464,3310376746.030033,104294590110.8393,-0.905623447583608,1737162055.9285717,0.9833436992840914
H3,Teste,Ridge + Brent e Câmbio,56,0.13900458184448247,5296.067121600755,8851.296730962518,0.9579331448617612,1205.7707738282884,0.03164757137096844,4387345413.894675,104294590110.8393,-1.5255821118827577,1737162055.9285717,0.9833436992840914
H3,Teste,Ridge Contábil,56,0.15190050915563266,5787.401261302329,10012.43484668854,0.946172321293482,550.9504325209799,0.014460661606280322,5613935687.314247,104294590110.8393,-2.2316706827408854,1737162055.9285717,0.9833436992840914
H4,Validação,Baseline Sazonal,70,0.27697739555801015,8024.114285714286,14846.018911286814,0.817891310126796,-4451.428571428572,-0.15365497652767368,15428299426.0,84720281260.28574,0.044065835530916475,16139499977.5625,0.8094966194933042
