Horizonte,Bloco,Modelo,Segmento,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H1,Validação,Baseline Sazonal,BIOCOMBUSTÍVEIS,3,0.13636363636363635,30.0,30.40833219146796,-1.5356489945155394,-12.0,-0.05454545454545454,2774.0,1094.0
H1,Validação,Baseline Sazonal,CORPORATIVO / OUTROS NEGÓCIOS,16,0.9312649500492473,827.3125,1512.2090835926097,-1.1924027270676216,-168.0625,-0.18917968200365837,36588421.0,16688731.75
H1,Validação,Baseline Sazonal,DISTRIBUIÇÃO,3,0.6856364712847839,9650.333333333334,14668.527090338688,-1.4536671075254355,9650.333333333334,0.6856364712847839,645497061.0,263074424.0
H1,Validação,Baseline Sazonal,E&P,16,0.18083058390952592,5477.4375,7058.514906657066,-0.18995712044968416,-3221.6875,-0.10635988668040863,797162123.0,669908275.9375
H1,Validação,Baseline Sazonal,GÁS & ENERGIA / G&EBC,16,0.43979773829995333,4299.875,5742.128438131631,-0.5195633514590163,-1330.125,-0.1360472029201373,527552624.0,347173826.9375
H1,Validação,Baseline Sazonal,REFINO / RTC,16,0.27296477590030555,22685.8125,28962.79555632536,0.09574818882452252,-16562.3125,-0.19928437299538332,13421496423.0,14842653624.9375
H1,Validação,Baseline Último,BIOCOMBUSTÍVEIS,3,0.08636363636363636,19.0,25.212430796467576,-0.743144424131627,18.333333333333332,0.08333333333333333,1907.0,1094.0
H1,Validação,Baseline Último,CORPORATIVO / OUTROS NEGÓCIOS,16,0.7154917686787674,635.625,1492.1491212342016,-1.1346226024634856,-37.5,-0.04221190375685943,35624144.0,16688731.75
H1,Validação,Baseline Último,DISTRIBUIÇÃO,3,0.5649970396684428,7952.333333333333,11084.53133876214,-0.40112634058261776,7952.333333333333,0.5649970396684428,368600505.0,263074424.0
H1,Validação,Baseline Último,E&P,16,0.08811361671484606,2669.0,3510.717038583429,0.7056281388313551,-738.75,-0.02438888510606689,197202146.0,669908275.9375
H1,Validação,Baseline Último,GÁS & ENERGIA / G&EBC,16,0.25090295401806545,2453.0625,3235.617918188116,0.5175109411973168,-326.8125,-0.033426878304172444,167507573.0,347173826.9375
H1,Validação,Baseline Último,REFINO / RTC,16,0.12649211163360138,10512.625,13054.827038302728,0.8162824375677309,-3458.25,-0.041611048149905655,2726856144.0,14842653624.9375
H1,Validação,Gradient Boosting,BIOCOMBUSTÍVEIS,3,5.64819716849125,1242.603377068075,1245.3451546138106,-4251.882689543224,1242.603377068075,5.64819716849125,4652653.662360287,1094.0
H1,Validação,Gradient Boosting,CORPORATIVO / OUTROS NEGÓCIOS,16,1.5770476707928782,1401.0097245406232,1602.0614023637588,-1.4606790022315352,987.7331777400643,1.1118426089658808,41065611.79109974,16688731.75
H1,Validação,Gradient Boosting,DISTRIBUIÇÃO,3,0.4767038470515326,6709.606647250322,10153.800270267466,-0.17570904492582295,6709.606647250322,0.4767038470515326,309298979.785451,263074424.0
