Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Feature,Beta_Padronizado,Importancia_Normalizada,Rank_Importancia
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Custo_t,15801.974207457164,0.4883856174879385,1
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Custo_t_1,-1083.0792799713163,0.03347432010663324,9
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Custo_t_4,3111.8238476529023,0.09617595823137437,2
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Receita_t,1285.6545394700004,0.03973523674269226,7
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Receita_t_1,-1384.459329577479,0.04278895887854001,5
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Receita_t_4,-1444.1289328570672,0.044633144653075045,4
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Despesas_t,-1308.3292558752926,0.040436035593998866,6
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Despesas_t_1,372.763004387546,0.011520844654243136,14
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Despesas_t_4,301.39484653073225,0.009315096094836679,16
H1,Validação,53,1T19,Ridge Contábil,0.1,296,EBIT_t,-551.0634298295747,0.017031508210241943,12
H1,Validação,53,1T19,Ridge Contábil,0.1,296,EBIT_t_1,102.67073490284952,0.003173205423902381,20
H1,Validação,53,1T19,Ridge Contábil,0.1,296,EBIT_t_4,1266.9640558210115,0.03915757706053989,8
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Trimestre_Sin,137.9842023804576,0.0042646253562012805,19
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Trimestre_Cos,-518.4879399050569,0.016024709910682014,13
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,351.33485582069386,0.010858573001850063,15
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=DISTRIBUIÇÃO,595.4516488980063,0.018403398044658674,11
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=E&P,639.9263192696284,0.019777959796681205,10
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=GÁS & ENERGIA / G&EBC,255.55477436790363,0.007898334388038695,17
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=INTERNACIONAL,188.25821769793706,0.005818425260699185,18
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=REFINO / RTC,1654.2239344519348,0.05112647110317247,3
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Custo_t,5609.254798062903,0.17931737696600686,1
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Custo_t_1,2031.6964940868659,0.06494953415853076,4
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Custo_t_4,1585.2204658911417,0.050676531213129455,8
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Receita_t,3862.837560989522,0.1234876866926452,2
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Receita_t_1,1508.1282514129548,0.04821203741093968,9
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Receita_t_4,1590.0895018921742,0.05083218518063325,7
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Despesas_t,-1962.5626995122266,0.06273945614476105,5
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Despesas_t_1,-391.8829416411455,0.012527764150967157,21
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Despesas_t_4,-151.46771009280445,0.004842139187235522,26
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,EBIT_t,-1919.461203132004,0.06136158197921584,6
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,EBIT_t_1,-654.1466212279483,0.020911843104413796,14
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,EBIT_t_4,450.54755483072887,0.014403162031183674,19
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Trimestre_Sin,-41.953049035500065,0.0013411604535008988,29
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Trimestre_Cos,-451.99589018839504,0.014449462601696803,18
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_t,568.1571618444852,0.018162921035711814,16
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_t_1,-986.098550692108,0.031523724969875544,10
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_t_4,-104.24369880057078,0.0033324759361275866,28
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,USD_BRL_t,260.1944916712075,0.00831793088871575,24
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,USD_BRL_t_1,-466.14738367837526,0.014901859361004495,17
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,USD_BRL_t_4,113.99411022104776,0.003644178339245934,27
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_BRL_t,755.7498549720696,0.024159908314885552,13
