Horizonte,Modelo,Feature,N_Janelas,Beta_Medio,Beta_DP,Beta_Min,Beta_Max,Abs_Beta_Medio,Consistencia_Sinal,Mudancas_Sinal,Importancia_Media,Top5_Frequencia,Rank_Medio
H1,Ridge Contábil,Custo_t,30,14441.170991818204,3238.130298991295,8041.678317506735,18784.68133514907,14441.170991818204,1.0,0,0.33753184198719427,1.0,1.0
H1,Ridge Contábil,Custo_t_1,30,4196.946204140216,2091.632810534572,-1083.0792799713163,6447.689631644548,4311.413074963412,0.9,1,0.09824016744394767,0.8,5.3
H1,Ridge Contábil,Custo_t_4,30,1432.7477773714388,1423.2487316733805,-522.2034073919721,4461.790817578357,1513.981029927095,0.8333333333333334,2,0.038535703958478176,0.26666666666666666,7.966666666666667
H1,Ridge Contábil,Despesas_t,30,-585.9114706675416,301.40936549923515,-1308.3292558752926,-226.86485399633025,585.9114706675416,1.0,0,0.014944925928823712,0.0,10.433333333333334
H1,Ridge Contábil,Despesas_t_1,30,256.77118053594614,133.5116030053276,-78.09260608166304,474.6502883359998,261.97735427472367,0.9666666666666667,2,0.0061054144454266495,0.0,14.566666666666666
H1,Ridge Contábil,Despesas_t_4,30,-99.25105931274103,244.62501200594275,-479.39107113650687,328.33065717672827,234.5781066245151,0.7333333333333333,2,0.005960897979843644,0.0,15.633333333333333
H1,Ridge Contábil,EBIT_t,30,571.1081920564736,537.0734010905404,-551.0634298295747,1208.4041560535065,688.7967533326905,0.8,3,0.015550224303576287,0.03333333333333333,9.8
H1,Ridge Contábil,EBIT_t_1,30,-437.5900129633388,188.28617200624814,-919.7802669579512,102.67073490284952,444.4347286235287,0.9666666666666667,1,0.010344759780315836,0.0,11.733333333333333
H1,Ridge Contábil,EBIT_t_4,30,645.2169671656833,441.9994597399441,45.11554686601123,1566.5869190868652,645.2169671656833,1.0,0,0.0157987910181271,0.0,11.0
H1,Ridge Contábil,Receita_t,30,7575.779479243256,2169.8631770664765,1285.6545394700004,9709.951589793722,7575.779479243256,1.0,0,0.1747306009480644,0.9666666666666667,2.7
