Horizonte,Recorte,Segmento,N
H1,Total elegível,TOTAL,422
H1,Total elegível,BIOCOMBUSTÍVEIS,30
H1,Total elegível,CORPORATIVO / OUTROS NEGÓCIOS,77
H1,Total elegível,DISTRIBUIÇÃO,50
H1,Total elegível,E&P,77
H1,Total elegível,GÁS & ENERGIA / G&EBC,77
H1,Total elegível,INTERNACIONAL,34
H1,Total elegível,REFINO / RTC,77
H1,Subtreino,TOTAL,248
H1,Subtreino,BIOCOMBUSTÍVEIS,19
H1,Subtreino,CORPORATIVO / OUTROS NEGÓCIOS,39
H1,Subtreino,DISTRIBUIÇÃO,39
H1,Subtreino,E&P,39
H1,Subtreino,GÁS & ENERGIA / G&EBC,39
H1,Subtreino,INTERNACIONAL,34
H1,Subtreino,REFINO / RTC,39
H1,Validação interna,TOTAL,48
H1,Validação interna,BIOCOMBUSTÍVEIS,8
H1,Validação interna,CORPORATIVO / OUTROS NEGÓCIOS,8
H1,Validação interna,DISTRIBUIÇÃO,8
H1,Validação interna,E&P,8
H1,Validação interna,GÁS & ENERGIA / G&EBC,8
H1,Validação interna,INTERNACIONAL,0
H1,Validação interna,REFINO / RTC,8
H1,Validação principal,TOTAL,70
H1,Validação principal,BIOCOMBUSTÍVEIS,3
H1,Validação principal,CORPORATIVO / OUTROS NEGÓCIOS,16
H1,Validação principal,DISTRIBUIÇÃO,3
H1,Validação principal,E&P,16
H1,Validação principal,GÁS & ENERGIA / G&EBC,16
H1,Validação principal,INTERNACIONAL,0
H1,Validação principal,REFINO / RTC,16
H1,Teste,TOTAL,56
H1,Teste,BIOCOMBUSTÍVEIS,0
H1,Teste,CORPORATIVO / OUTROS NEGÓCIOS,14
H1,Teste,DISTRIBUIÇÃO,0
H1,Teste,E&P,14
H1,Teste,GÁS & ENERGIA / G&EBC,14
H1,Teste,INTERNACIONAL,0
H1,Teste,REFINO / RTC,14
H2,Total elegível,TOTAL,415
H2,Total elegível,BIOCOMBUSTÍVEIS,29
H2,Total elegível,CORPORATIVO / OUTROS NEGÓCIOS,76
H2,Total elegível,DISTRIBUIÇÃO,49
H2,Total elegível,E&P,76
H2,Total elegível,GÁS & ENERGIA / G&EBC,76
H2,Total elegível,INTERNACIONAL,33
H2,Total elegível,REFINO / RTC,76
H2,Subtreino,TOTAL,241
H2,Subtreino,BIOCOMBUSTÍVEIS,18
H2,Subtreino,CORPORATIVO / OUTROS NEGÓCIOS,38
H2,Subtreino,DISTRIBUIÇÃO,38
H2,Subtreino,E&P,38
H2,Subtreino,GÁS & ENERGIA / G&EBC,38
H2,Subtreino,INTERNACIONAL,33
H2,Subtreino,REFINO / RTC,38
H2,Validação interna,TOTAL,48
H2,Validação interna,BIOCOMBUSTÍVEIS,8
H2,Validação interna,CORPORATIVO / OUTROS NEGÓCIOS,8
H2,Validação interna,DISTRIBUIÇÃO,8
H2,Validação interna,E&P,8
H2,Validação interna,GÁS & ENERGIA / G&EBC,8
H2,Validação interna,INTERNACIONAL,0
H2,Validação interna,REFINO / RTC,8
H2,Validação principal,TOTAL,70
H2,Validação principal,BIOCOMBUSTÍVEIS,3
H2,Validação principal,CORPORATIVO / OUTROS NEGÓCIOS,16
H2,Validação principal,DISTRIBUIÇÃO,3
H2,Validação principal,E&P,16
H2,Validação principal,GÁS & ENERGIA / G&EBC,16
H2,Validação principal,INTERNACIONAL,0
H2,Validação principal,REFINO / RTC,16
H2,Teste,TOTAL,56
H2,Teste,BIOCOMBUSTÍVEIS,0
H2,Teste,CORPORATIVO / OUTROS NEGÓCIOS,14
