Etapa,Horizonte,Target_QID,Modelo,Config_Index,Seed
Tuning,H1,,Random Forest ampliada,0,10100
Tuning,H1,,Random Forest ampliada,1,10101
Tuning,H1,,Gradient Boosting,0,10100
Tuning,H1,,Gradient Boosting,1,10101
Tuning,H2,,Random Forest ampliada,0,10200
Tuning,H2,,Random Forest ampliada,1,10201
Tuning,H2,,Gradient Boosting,0,10200
Tuning,H2,,Gradient Boosting,1,10201
Tuning,H3,,Random Forest ampliada,0,10300
Tuning,H3,,Random Forest ampliada,1,10301
Tuning,H3,,Gradient Boosting,0,10300
Tuning,H3,,Gradient Boosting,1,10301
Tuning,H4,,Random Forest ampliada,0,10400
Tuning,H4,,Random Forest ampliada,1,10401
Tuning,H4,,Gradient Boosting,0,10400
Tuning,H4,,Gradient Boosting,1,10401
Validação,H1,53,Random Forest ampliada,,21531
Validação,H1,53,Gradient Boosting,,21532
Validação,H1,54,Random Forest ampliada,,21541
Validação,H1,54,Gradient Boosting,,21542
Validação,H1,55,Random Forest ampliada,,21551
Validação,H1,55,Gradient Boosting,,21552
Validação,H1,56,Random Forest ampliada,,21561
Validação,H1,56,Gradient Boosting,,21562
Validação,H1,57,Random Forest ampliada,,21571
Validação,H1,57,Gradient Boosting,,21572
Validação,H1,58,Random Forest ampliada,,21581
Validação,H1,58,Gradient Boosting,,21582
Validação,H1,59,Random Forest ampliada,,21591
Validação,H1,59,Gradient Boosting,,21592
Validação,H1,60,Random Forest ampliada,,21601
Validação,H1,60,Gradient Boosting,,21602
Validação,H1,61,Random Forest ampliada,,21611
Validação,H1,61,Gradient Boosting,,21612
Validação,H1,62,Random Forest ampliada,,21621
Validação,H1,62,Gradient Boosting,,21622
Validação,H1,63,Random Forest ampliada,,21631
Validação,H1,63,Gradient Boosting,,21632
Validação,H1,64,Random Forest ampliada,,21641
Validação,H1,64,Gradient Boosting,,21642
Validação,H1,65,Random Forest ampliada,,21651
Validação,H1,65,Gradient Boosting,,21652
Validação,H1,66,Random Forest ampliada,,21661
Validação,H1,66,Gradient Boosting,,21662
Validação,H1,67,Random Forest ampliada,,21671
Validação,H1,67,Gradient Boosting,,21672
Validação,H1,68,Random Forest ampliada,,21681
Validação,H1,68,Gradient Boosting,,21682
Teste,H1,69,Random Forest ampliada,,21691
Teste,H1,69,Gradient Boosting,,21692
Teste,H1,70,Random Forest ampliada,,21701
Teste,H1,70,Gradient Boosting,,21702
Teste,H1,71,Random Forest ampliada,,21711
