Horizonte,Modelo,Parametros,Params_JSON,Seed,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H1,Ridge Contábil,alpha=0.1,"{""alpha"": 0.1}",,48,0.11051475482193843,1992.8826426245848,3427.5700899514127,0.9680038395402991,-1431.262544312983,-0.07937026786597885,563915362.6334176,17624469765.479168
H1,Ridge Contábil,alpha=1,"{""alpha"": 1.0}",,48,0.11224698821443288,2024.1195382448934,3487.6533378453732,0.9668722607597064,-1464.25208593793,-0.08119969375709286,583858838.6392306,17624469765.479168
H1,Ridge Contábil,alpha=10,"{""alpha"": 10.0}",,48,0.12440623109188535,2243.3838719257146,3819.8790996429034,0.9602603157177243,-1552.077086291228,-0.08607000481991535,700390864.1226566,17624469765.479168
H1,Ridge Contábil,alpha=100,"{""alpha"": 100.0}",,48,0.14942896419262267,2694.6120409410955,4416.092213422,0.9468869251981166,-1492.7037359739807,-0.08277747212735995,936089780.9974282,17624469765.479168
H1,Ridge Contábil,alpha=1000,"{""alpha"": 1000.0}",,48,0.36136831450247775,6516.456944838003,8911.678994542954,0.7837061125349715,-1657.6119599610684,-0.09192241200101584,3812065080.0853496,17624469765.479168
H1,Ridge + Brent e Câmbio,alpha=0.1,"{""alpha"": 0.1}",,48,0.14087124671544482,2540.2930393902975,3428.309978572223,0.9679900244178948,578.1960871082896,0.032063703822329884,564158846.840538,17624469765.479168
H1,Ridge + Brent e Câmbio,alpha=1,"{""alpha"": 1.0}",,48,0.13423373924465357,2420.600664827792,3442.271472645253,0.9677287778665193,395.23490473138685,0.021917642142708763,568763178.7865913,17624469765.479168
H1,Ridge + Brent e Câmbio,alpha=10,"{""alpha"": 10.0}",,48,0.1306003311959276,2355.08040153313,3601.246771711575,0.9646791666813188,-210.28132808224345,-0.011661092790710046,622510958.916626,17624469765.479168
H1,Ridge + Brent e Câmbio,alpha=100,"{""alpha"": 100.0}",,48,0.14900869416295356,2687.0334253192054,4198.255212210427,0.9519976113354639,-1194.7176757603495,-0.06625273771475336,846016647.6888969,17624469765.479168
H1,Ridge + Brent e Câmbio,alpha=1000,"{""alpha"": 1000.0}",,48,0.35879594654153735,6470.070130081355,8916.80434974155,0.7834572476937385,-1982.1217506447501,-0.10991801253848385,3816451190.955351,17624469765.479168
H1,Random Forest ampliada,trees=35;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 35}",10100,48,0.13111235973720006,2364.3136735435,4630.854861976732,0.9415953377419917,-845.9363162233318,-0.04691116405092122,1029351204.1292895,17624469765.479168
H1,Random Forest ampliada,trees=100;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 100}",10100,48,0.11990721781412135,2162.254383970559,4486.615549918761,0.9451769880563652,-881.0811815933703,-0.048860112823190444,966226516.4530957,17624469765.479168
H1,Random Forest ampliada,trees=300;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 300}",10100,48,0.11650813668051724,2100.9596744727496,4387.87419126187,0.9475635222858978,-711.9993696477163,-0.03948372778557783,924165116.0804162,17624469765.479168
H1,Random Forest ampliada,trees=500;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 500}",10100,48,0.11612641314564753,2094.0761573519017,4410.513602690063,0.9470210301971437,-748.5240032361884,-0.0415091912221378,933726251.4966757,17624469765.479168
H1,Random Forest ampliada,trees=35;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 35}",10101,48,0.11108775596485095,2003.2154170469166,4102.082886901661,0.9541716690898365,-544.3260884535168,-0.030185452430556023,807700032.5285504,17624469765.479168
H1,Random Forest ampliada,trees=100;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 100}",10101,48,0.11000157645384012,1983.628636098476,4185.127045089791,0.9522973539858344,-514.5368057493757,-0.0285334960112689,840733842.4100164,17624469765.479168
H1,Random Forest ampliada,trees=300;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 300}",10101,48,0.11490560818204545,2072.061712077943,4415.375074578308,0.946904174093517,-668.4525171061028,-0.037068849142465415,935785778.3619554,17624469765.479168
H1,Random Forest ampliada,trees=500;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 500}",10101,48,0.11520047861429968,2077.379030722041,4428.6406557674,0.9465846519465848,-730.1397263349087,-0.040489696239910555,941417186.7799635,17624469765.479168
H1,Gradient Boosting,n_estimators=60;learning_rate=0.05;max_depth=2;min_leaf=5,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_leaf"": 5, ""n_estimators"": 60}",10100,48,0.1206350235499849,2175.3787076913327,3553.9570518323585,0.9656007061245949,-499.46061946694,-0.02769745027780866,606269314.8609096,17624469765.479168
