Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Feature,Beta_Padronizado,Importancia_Normalizada,Rank_Importancia
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Custo_t,15801.974207457164,0.4883856174879385,1
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Custo_t_1,-1083.0792799713163,0.03347432010663324,9
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Custo_t_4,3111.8238476529023,0.09617595823137437,2
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Receita_t,1285.6545394700004,0.03973523674269226,7
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Receita_t_1,-1384.459329577479,0.04278895887854001,5
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Receita_t_4,-1444.1289328570672,0.044633144653075045,4
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Despesas_t,-1308.3292558752926,0.040436035593998866,6
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Despesas_t_1,372.763004387546,0.011520844654243136,14
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Despesas_t_4,301.39484653073225,0.009315096094836679,16
H1,Validação,53,1T19,Ridge Contábil,0.1,296,EBIT_t,-551.0634298295747,0.017031508210241943,12
H1,Validação,53,1T19,Ridge Contábil,0.1,296,EBIT_t_1,102.67073490284952,0.003173205423902381,20
H1,Validação,53,1T19,Ridge Contábil,0.1,296,EBIT_t_4,1266.9640558210115,0.03915757706053989,8
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Trimestre_Sin,137.9842023804576,0.0042646253562012805,19
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Trimestre_Cos,-518.4879399050569,0.016024709910682014,13
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,351.33485582069386,0.010858573001850063,15
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=DISTRIBUIÇÃO,595.4516488980063,0.018403398044658674,11
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=E&P,639.9263192696284,0.019777959796681205,10
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=GÁS & ENERGIA / G&EBC,255.55477436790363,0.007898334388038695,17
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=INTERNACIONAL,188.25821769793706,0.005818425260699185,18
H1,Validação,53,1T19,Ridge Contábil,0.1,296,Segmento=REFINO / RTC,1654.2239344519348,0.05112647110317247,3
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Custo_t,5609.252626226526,0.17931800495892009,1
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Custo_t_1,2031.699203241434,0.06494987337501468,4
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Custo_t_4,1585.2165762643967,0.050676603965824275,8
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Receita_t,3862.83570193192,0.12348810754499762,2
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Receita_t_1,1508.1329527567052,0.04821237521674359,9
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Receita_t_4,1590.0834289481022,0.050832188741876366,7
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Despesas_t,-1962.564214094651,0.06273974857715947,5
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Despesas_t_1,-391.88193847007807,0.012527780805829372,21
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Despesas_t_4,-151.47011634081963,0.004842234943410517,26
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,EBIT_t,-1919.4641139799398,0.0613619136887888,6
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,EBIT_t_1,-654.1422019831446,0.020911783161736912,14
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,EBIT_t_4,450.54860667787244,0.014403251675410376,19
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Trimestre_Sin,-41.950085192174264,0.0013410709208114095,29
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Trimestre_Cos,-451.99331525434275,0.014449436484143794,18
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_t,568.1387525055361,0.01816240316273253,16
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_t_1,-986.0782274207422,0.031523197876268186,10
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_t_4,-104.22051732232732,0.0033317478258415635,28
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,USD_BRL_t,260.2134530900285,0.008318569403240687,24
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,USD_BRL_t_1,-466.13563650270595,0.014901541782430323,17
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,USD_BRL_t_4,113.98671142703304,0.003643955986106847,27
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Brent_BRL_t,755.7583901364537,0.024160275134800308,13
