Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Y_Mean
H1,Validação,53,1T19,Ridge Contábil,0.1,296,15060.767837837835
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,15060.767837837835
H1,Validação,54,2T19,Ridge Contábil,0.1,302,15133.543973509932
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,15133.543973509932
H1,Validação,55,3T19,Ridge Contábil,0.1,308,15203.426233766231
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,15203.426233766231
H1,Validação,56,4T19,Ridge Contábil,0.1,314,15228.75248407643
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,15228.75248407643
H1,Validação,57,1T20,Ridge Contábil,0.1,318,15366.29647798742
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,15366.29647798742
H1,Validação,58,2T20,Ridge Contábil,0.1,322,15489.451180124224
H1,Validação,58,2T20,Ridge + Brent e Câmbio,10.0,322,15489.451180124224
H1,Validação,59,3T20,Ridge Contábil,0.1,326,15493.062208588957
H1,Validação,59,3T20,Ridge + Brent e Câmbio,10.0,326,15493.062208588957
H1,Validação,60,4T20,Ridge Contábil,0.1,330,15565.758424242425
H1,Validação,60,4T20,Ridge + Brent e Câmbio,10.0,330,15565.758424242425
H1,Validação,61,1T21,Ridge Contábil,0.1,334,15643.98886227545
H1,Validação,61,1T21,Ridge + Brent e Câmbio,10.0,334,15643.98886227545
H1,Validação,62,2T21,Ridge Contábil,0.1,338,15759.75526627219
H1,Validação,62,2T21,Ridge + Brent e Câmbio,10.0,338,15759.75526627219
H1,Validação,63,3T21,Ridge Contábil,0.1,342,15947.565146198831
H1,Validação,63,3T21,Ridge + Brent e Câmbio,10.0,342,15947.565146198831
H1,Validação,64,4T21,Ridge Contábil,0.1,346,16176.324508670521
H1,Validação,64,4T21,Ridge + Brent e Câmbio,10.0,346,16176.324508670521
H1,Validação,65,1T22,Ridge Contábil,0.1,350,16458.76937142857
H1,Validação,65,1T22,Ridge + Brent e Câmbio,10.0,350,16458.76937142857
H1,Validação,66,2T22,Ridge Contábil,0.1,354,16747.930169491523
H1,Validação,66,2T22,Ridge + Brent e Câmbio,10.0,354,16747.930169491523
H1,Validação,67,3T22,Ridge Contábil,0.1,358,17076.25217877095
H1,Validação,67,3T22,Ridge + Brent e Câmbio,10.0,358,17076.25217877095
H1,Validação,68,4T22,Ridge Contábil,0.1,362,17421.310165745854
H1,Validação,68,4T22,Ridge + Brent e Câmbio,10.0,362,17421.310165745854
H1,Teste,69,1T23,Ridge Contábil,0.1,366,17721.0581420765
H1,Teste,69,1T23,Ridge + Brent e Câmbio,10.0,366,17721.0581420765
H1,Teste,70,2T23,Ridge Contábil,0.1,370,17947.762918918917
H1,Teste,70,2T23,Ridge + Brent e Câmbio,10.0,370,17947.762918918917
H1,Teste,71,3T23,Ridge Contábil,0.1,374,18115.345668449198
H1,Teste,71,3T23,Ridge + Brent e Câmbio,10.0,374,18115.345668449198
H1,Teste,72,4T23,Ridge Contábil,0.1,378,18308.74148148148
H1,Teste,72,4T23,Ridge + Brent e Câmbio,10.0,378,18308.74148148148
H1,Teste,73,1T24,Ridge Contábil,0.1,382,18534.945759162303
H1,Teste,73,1T24,Ridge + Brent e Câmbio,10.0,382,18534.945759162303
H1,Teste,74,2T24,Ridge Contábil,0.1,386,18700.20797927461
H1,Teste,74,2T24,Ridge + Brent e Câmbio,10.0,386,18700.20797927461
H1,Teste,75,3T24,Ridge Contábil,0.1,390,18882.1878974359
H1,Teste,75,3T24,Ridge + Brent e Câmbio,10.0,390,18882.1878974359
H1,Teste,76,4T24,Ridge Contábil,0.1,394,19083.599695431472
H1,Teste,76,4T24,Ridge + Brent e Câmbio,10.0,394,19083.599695431472
H1,Teste,77,1T25,Ridge Contábil,0.1,398,19261.764522613066
H1,Teste,77,1T25,Ridge + Brent e Câmbio,10.0,398,19261.764522613066
H1,Teste,78,2T25,Ridge Contábil,0.1,402,19459.264378109452
H1,Teste,78,2T25,Ridge + Brent e Câmbio,10.0,402,19459.264378109452
H1,Teste,79,3T25,Ridge Contábil,0.1,406,19635.944039408867
H1,Teste,79,3T25,Ridge + Brent e Câmbio,10.0,406,19635.944039408867
H1,Teste,80,4T25,Ridge Contábil,0.1,410,19830.783609756098
H1,Teste,80,4T25,Ridge + Brent e Câmbio,10.0,410,19830.783609756098
H1,Teste,81,1T26,Ridge Contábil,0.1,414,20012.384734299518
H1,Teste,81,1T26,Ridge + Brent e Câmbio,10.0,414,20012.384734299518
H1,Teste,82,2T26,Ridge Contábil,0.1,418,20163.038947368423
H1,Teste,82,2T26,Ridge + Brent e Câmbio,10.0,418,20163.038947368423
H2,Validação,53,1T19,Ridge Contábil,0.1,289,15243.251892733564
H2,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,289,15243.251892733564
